"","filename","type","object","suffix","func","modal","preN","c_adjunct","clause_ID","year","author","wgr","large_region","lcinf","lclet","class"
"11311","119_101_f1600","noun","none","ing","Pcomp","_","pos","loc_temp",0.7,1617,"IsabellaSeton,CountessofPerth","female","South-East","Lothian","unspecified","unspecified"
"11394","1191_86_m1650","verb","PP","ing","adjunct","_","bare","_",0.4,1679,"GeorgeMaule,3rdEarlofPanmure","male","North-East","Angus","Edinburgh","unspecified"
"11410","1191_86_m1650","hybrid","PP","ing","Pcomp","_","pos","_",0.6,1679,"GeorgeMaule,3rdEarlofPanmure","male","North-East","Angus","Edinburgh","unspecified"
"11422","1191_86_m1650","verb","none","ing","adjunct","_","bare","_",0.7,1679,"GeorgeMaule,3rdEarlofPanmure","male","North-East","Angus","Edinburgh","unspecified"
"11463","1191_86_m1650","verb","no","ing","conj","_","bare","loc_temp",0.17,1679,"GeorgeMaule,3rdEarlofPanmure","male","North-East","Angus","Edinburgh","unspecified"
"11465","1191_86_m1650","verb","N","ing","conj","_","bare","_",0.17,1679,"GeorgeMaule,3rdEarlofPanmure","male","North-East","Angus","Edinburgh","unspecified"
"11467","1191_86_m1650","verb","N","ing","adjunct","_","bare","_",0.18,1679,"GeorgeMaule,3rdEarlofPanmure","male","North-East","Angus","Edinburgh","unspecified"
"11543","1192_87_m1650","verb","clause","ing","adjunct","_","bare","_",0.12,1671,"AlexanderHume,4thEarlofHume","male","South-East","Borders","Seufske","unspecified"
"11611","1193_88_m1650","verb","PP","ing","adjunct","modal","bare","adv",0.3,1685,"JamesDrummond,4thEarlofPerth","male","Central","Perthshire","Edinburgh","unspecified"
"11623","1193_88_m1650","verb","N","other","adjunct","_","bare","_",0.4,1685,"JamesDrummond,4thEarlofPerth","male","Central","Perthshire","Edinburgh","unspecified"
"11626","1193_88_m1650","verb","N","ing","adjunct","_","bare","_",0.4,1685,"JamesDrummond,4thEarlofPerth","male","Central","Perthshire","Edinburgh","unspecified"
