"","filename","type","object","suffix","func","modal","preN","c_adjunct","clause_ID","year","author","wgr","large_region","lcinf","lclet","class"
"15010","1229_124_m1650","noun","PPof","ing","Pcomp","_","det","_",0.5,1664,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15019","1229_124_m1650","verb","clause","ing","adjunct","_","bare","_",0.6,1664,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15080","123_105_f1600","verb","PP","ing","adjunct","_","bare","neg",0.2,1638,"HenrietteStewart,MarchionessofHuntly","female","South-East","Stirlingshire","Bog","unspecified"
"15115","123_105_f1600","verb","clause","ing","adjunct","_","bare","adv",0.6,1638,"HenrietteStewart,MarchionessofHuntly","female","South-East","Stirlingshire","Bog","unspecified"
"15247","1231_126_m1650","verb","N","ing","adjunct","_","bare","_",0.8,1665,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15255","1231_126_m1650","verb","N","ing","adjunct","_","bare","_",0.8,1665,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15303","1232_127_m1650","verb","N","ing","Pcomp","_","bare","_",0.2,1665,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15330","1232_127_m1650","noun","PPof","ing","Pcomp","_","det","_",0.6,1665,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15371","1232_127_m1650","verb","PP","ing","adjunct","_","bare","_",0.12,1665,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
"15382","1232_127_m1650","verb","N","ing","Pcomp","_","bare","_",0.12,1665,"AlexanderBurnet,ArchbishopofGlasgow","male","Unspecified","Unspecified","Glasgow","Professional"
